iter	MultiClass
0	1.627081455
1	1.517088124
2	1.439667505
3	1.379937673
4	1.331984015
5	1.295145105
6	1.264974728
7	1.239650017
8	1.218991485
9	1.202120949
10	1.186710366
11	1.173516595
12	1.162272566
13	1.153475597
14	1.144885751
15	1.138075491
16	1.131485721
17	1.126203927
18	1.120702931
19	1.11643896
20	1.112842841
21	1.109636212
22	1.106839888
23	1.10451272
24	1.102021532
25	1.100013926
26	1.098397124
27	1.096435256
28	1.094728458
29	1.093479131
30	1.092493639
31	1.091190327
32	1.08967842
33	1.088295229
34	1.087214006
35	1.085965467
36	1.085022899
37	1.084164155
38	1.083065879
39	1.08225909
40	1.080983589
41	1.079784579
42	1.079240175
43	1.078309297
44	1.07733473
45	1.076481338
46	1.075644485
47	1.075244166
48	1.074794171
49	1.07405634
50	1.073141707
51	1.072572469
52	1.072074737
53	1.071462188
54	1.070884589
55	1.070408917
56	1.069949275
57	1.069378794
58	1.068710886
59	1.068140233
60	1.067909525
61	1.067564924
62	1.067105199
63	1.066448913
64	1.065745551
65	1.065276898
66	1.064394889
67	1.063479851
68	1.062711455
69	1.062451736
70	1.061920718
71	1.061664462
72	1.060795249
73	1.060247729
74	1.059727725
75	1.058761198
76	1.058392232
77	1.057862614
78	1.057119816
79	1.056638526
80	1.055952793
81	1.05537636
82	1.054899632
83	1.054560678
84	1.054220859
85	1.053782199
86	1.053253889
87	1.052416577
88	1.052018396
89	1.0516098
90	1.051148341
91	1.050256155
92	1.049667831
93	1.048847642
94	1.048310807
95	1.04787991
96	1.04751155
97	1.047202295
98	1.046661337
99	1.046308135
100	1.04569773
101	1.044893877
102	1.044413487
103	1.043936846
104	1.043404629
105	1.042766483
106	1.041893923
107	1.041389453
108	1.040597201
109	1.039890443
110	1.039253109
111	1.038625623
112	1.037920189
113	1.037420417
114	1.036815756
115	1.036136386
116	1.035781412
117	1.035364688
118	1.034872226
119	1.034455072
120	1.03412155
121	1.033569034
122	1.032991198
123	1.032786997
124	1.032540484
125	1.032191102
126	1.031895291
127	1.031453293
128	1.030734503
129	1.030305087
130	1.030005422
131	1.029856032
132	1.029306363
133	1.029019599
134	1.028461966
135	1.028165079
136	1.027678309
137	1.027105373
138	1.02664646
139	1.025984075
140	1.025369465
141	1.024880771
142	1.024579653
143	1.024077994
144	1.023595028
145	1.023069037
146	1.022704359
147	1.022506201
148	1.022151696
149	1.021824068
150	1.021341376
151	1.020604318
152	1.020197682
153	1.019861312
154	1.019411345
155	1.018851503
156	1.018326815
157	1.018041094
158	1.017743636
159	1.017355822
160	1.016958979
161	1.016640847
162	1.016170802
163	1.015891736
164	1.01536517
165	1.014946287
166	1.01452437
167	1.013982282
168	1.013533593
169	1.013287989
170	1.013065097
171	1.012746866
172	1.012451014
173	1.01209466
174	1.01175646
175	1.011184368
176	1.010839841
177	1.010519518
178	1.010431304
179	1.009702893
180	1.009500648
181	1.00900433
182	1.008743264
183	1.008121732
184	1.007635284
185	1.007281315
186	1.007023882
187	1.006487741
188	1.006289491
189	1.005751031
190	1.005451407
191	1.005196064
192	1.004860363
193	1.004490525
194	1.00370617
195	1.003143721
196	1.002800111
197	1.002594691
198	1.002260907
199	1.002073807
