iter	Passed	Remaining
0	25	5041
1	51	5125
2	84	5552
3	114	5619
4	139	5459
5	164	5304
6	186	5129
7	209	5028
8	231	4917
9	253	4814
10	275	4734
11	296	4644
12	318	4581
13	341	4539
14	363	4487
15	385	4431
16	408	4394
17	431	4358
18	453	4321
19	475	4278
20	497	4242
21	520	4208
22	541	4170
23	550	4040
24	573	4016
25	596	3989
26	618	3965
27	639	3930
28	662	3909
29	685	3885
30	708	3862
31	733	3850
32	759	3844
33	782	3821
34	804	3793
35	827	3768
36	851	3751
37	873	3724
38	895	3695
39	917	3668
40	939	3642
41	965	3630
42	987	3605
43	1010	3582
44	1033	3560
45	1057	3541
46	1081	3519
47	1104	3497
48	1127	3474
49	1150	3450
50	1172	3424
51	1187	3379
52	1209	3355
53	1231	3329
54	1254	3306
55	1277	3283
56	1298	3258
57	1323	3240
58	1346	3216
59	1368	3193
60	1391	3170
61	1415	3149
62	1438	3127
63	1462	3108
64	1484	3082
65	1507	3059
66	1529	3036
67	1552	3013
68	1577	2994
69	1598	2969
70	1622	2947
71	1630	2897
72	1653	2877
73	1677	2856
74	1700	2833
75	1722	2809
76	1744	2787
77	1767	2763
78	1789	2741
79	1812	2718
80	1837	2699
81	1858	2674
82	1882	2652
83	1904	2629
84	1928	2608
85	1950	2586
86	1974	2564
87	1996	2541
88	2017	2516
89	2042	2496
90	2064	2473
91	2086	2449
92	2109	2426
93	2131	2403
94	2154	2381
95	2179	2361
96	2202	2338
97	2224	2315
98	2247	2292
99	2269	2269
100	2294	2248
101	2316	2225
102	2339	2202
103	2362	2180
104	2384	2157
105	2408	2135
106	2430	2112
107	2457	2093
108	2478	2069
109	2501	2046
110	2523	2023
111	2545	2000
112	2566	1976
113	2589	1953
114	2612	1930
115	2635	1908
116	2658	1885
117	2683	1865
118	2705	1841
119	2727	1818
120	2752	1797
121	2775	1774
122	2798	1752
123	2825	1732
124	2848	1708
125	2871	1686
126	2893	1663
127	2916	1640
128	2939	1617
129	2962	1595
130	2985	1572
131	3011	1551
132	3033	1527
133	3054	1504
134	3077	1481
135	3100	1459
136	3122	1435
137	3145	1413
138	3167	1390
139	3189	1366
140	3211	1343
141	3236	1321
142	3257	1298
143	3279	1275
144	3302	1252
145	3325	1229
146	3347	1207
147	3369	1183
148	3391	1160
149	3413	1137
150	3436	1115
151	3458	1092
152	3483	1070
153	3506	1047
154	3529	1024
155	3552	1001
156	3575	979
157	3597	956
158	3619	933
159	3642	910
160	3665	887
161	3689	865
162	3710	842
163	3732	819
164	3754	796
165	3776	773
166	3798	750
167	3821	727
168	3844	705
169	3865	682
170	3888	659
171	3910	636
172	3934	613
173	3957	591
174	3983	569
175	4005	546
176	4027	523
177	4049	500
178	4075	478
179	4097	455
180	4119	432
181	4141	409
182	4164	386
183	4187	364
184	4209	341
185	4233	318
186	4257	295
187	4280	273
188	4302	250
189	4324	227
190	4346	204
191	4369	182
192	4392	159
193	4416	136
194	4441	113
195	4465	91
196	4490	68
197	4512	45
198	4533	22
199	4558	0
