Nutrient	Daily Value
Protein	50
Sodium, Na	2300
Vitamin A	900
Vitamin C	90
Calcium, Ca	1300
Iron, Fe	18
Vitamin D (D2 + D3)	20
Vitamin E	15
Selenium	55
Copper, Cu	0.9
Manganese, Mn	2.3
Chromium	35
Molybdenum	45
Chloride	2300
Potassium, K	4700
Choline	550
Total lipid (fat)	78
Fatty acids, total saturated	20
Cholesterol	300
Carbohydrate, by difference	275
Vitamin K (phylloquinone)	120
Thiamin	1.2
Riboflavin	1.3
Pantothenic acid	5
Phosphorus, P	1250
Iodine	150
Magnesium, Mg	420
Zinc, Zn	11
Niacin	16
Vitamin B-6	1.7
Folate	400
Vitamin B12	2.4
Biotin	30
Fiber	28
Added sugars	50
